source_ip,total_events,http_requests,attack_tagged,top_behavior
204.76.203.18,33055,33055,0,/kitty.armv5l
103.152.113.90,10316,10316,0,http://165.154.226.119/api/research/overview
130.51.96.10,6052,6052,0,/api/research/overview
45.156.129.160,913,913,281,/login/login
93.123.109.228,880,880,0,/
45.156.129.163,847,847,111,/
45.156.129.162,832,832,194,/favicon-32x32.png
45.156.129.161,744,744,55,/
45.156.129.85,443,443,0,/sse
205.169.39.37,442,442,0,/static/css/style.css?v=20260813-3
47.109.91.215,409,409,0,/docker-compose.yaml
223.85.251.61,295,295,0,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh
172.105.128.12,233,233,0,/
93.174.93.12,197,197,0,/aaa9
5.61.209.44,172,172,0,/SDK/webLanguage
45.156.129.86,149,149,0,/favicon.ico
66.228.53.204,147,147,0,/
94.154.43.114,144,144,0,/
45.33.12.214,144,144,0,/
172.236.127.133,143,143,0,/
72.14.178.148,142,142,0,/
137.184.109.187,142,142,0,/
43.166.226.57,140,140,0,/
20.65.193.254,138,138,0,/manager/html
34.156.26.75,137,137,0,/
71.6.199.87,135,135,0,/
20.196.200.88,133,133,0,/zoo2.php
66.132.224.79,130,130,35,/login
43.130.3.122,119,119,0,/
45.79.149.61,109,109,0,/
89.248.172.12,101,101,0,/
45.79.211.97,96,96,0,/
43.160.225.169,59,59,0,/
107.150.97.180,58,58,0,/favicon.ico
66.228.62.150,44,44,0,/
54.166.249.45,42,42,0,/
45.33.12.122,22,22,0,/
66.228.53.157,18,18,0,/
43.165.198.224,1,1,0,/
172.236.228.39,1,1,0,/
